year,month,day,hour,min,sec,swvel
2018,5,29,0,0,0,0.120835167269941
2018,5,29,0,10,0,0.131567263452138
2018,5,29,0,20,0,0.143702773562968
2018,5,29,0,30,0,0.156972571506986
2018,5,29,0,40,0,0.171053473628963
2018,5,29,0,50,0,0.185579122057353
2018,5,29,1,0,0,0.200152388379987
2018,5,29,1,10,0,0.214358868728924
2018,5,29,1,20,0,0.227780941616515
2018,5,29,1,30,0,0.240011766859646
2018,5,29,1,40,0,0.25066878695785
2018,5,29,1,50,0,0.259406201957152
2018,5,29,2,0,0,0.265926288538135
2018,5,29,2,10,0,0.269988859091786
2018,5,29,2,20,0,0.271418584038661
2018,5,29,2,30,0,0.270110132359117
2018,5,29,2,40,0,0.266030855647224
2018,5,29,2,50,0,0.259220990647305
2018,5,29,3,0,0,0.2497915640525
2018,5,29,3,10,0,0.237920095062686
2018,5,29,3,20,0,0.223844265876657
2018,5,29,3,30,0,0.207853880977231
2018,5,29,3,40,0,0.190281214653869
2018,5,29,3,50,0,0.171490360967227
2018,5,29,4,0,0,0.151865894532838
2018,5,29,4,10,0,0.131801293182591
2018,5,29,4,20,0,0.111687546920802
2018,5,29,4,30,0,0.0919024294994654
2018,5,29,4,40,0,0.0728007568759229
2018,5,29,4,50,0,0.0547057231651969
2018,5,29,5,0,0,0.0379018648229971
2018,5,29,5,10,0,0.022629560783849
2018,5,29,5,20,0,0.00908132965490989
2018,5,29,5,30,0,-0.002600111044081
2018,5,29,5,40,0,-0.0123219651197573
2018,5,29,5,50,0,-0.0200398460561014
2018,5,29,6,0,0,-0.0257549386643873
2018,5,29,6,10,0,-0.0295099078498559
2018,5,29,6,20,0,-0.0313838519596283
2018,5,29,6,30,0,-0.0314865714776835
2018,5,29,6,40,0,-0.0299525773404216
2018,5,29,6,50,0,-0.0269350050238034
2018,5,29,7,0,0,-0.0225996188238984
2018,5,29,7,10,0,-0.0171191729290926
2018,5,29,7,20,0,-0.0106681865144979
2018,5,29,7,30,0,-0.00341842351144944
2018,5,29,7,40,0,0.00446485850811923
2018,5,29,7,50,0,0.012825957302807
2018,5,29,8,0,0,0.0215209059512239
2018,5,29,8,10,0,0.0304187359762439
2018,5,29,8,20,0,0.039402034622085
2018,5,29,8,30,0,0.0483671930835452
2018,5,29,8,40,0,0.0572241350706322
2018,5,29,8,50,0,0.0658956980438194
2018,5,29,9,0,0,0.0743167909155486
2018,5,29,9,10,0,0.0824335454969227
