year,month,day,hour,min,sec,swvel
2018,5,27,18,40,0,-0.0589632064274983
2018,5,27,18,50,0,-0.0535896031619271
2018,5,27,19,0,0,-0.0475875607225171
2018,5,27,19,10,0,-0.0411319895653923
2018,5,27,19,20,0,-0.0343922679195176
2018,5,27,19,30,0,-0.0275272525448938
2018,5,27,19,40,0,-0.0206808351369147
2018,5,27,19,50,0,-0.0139780366294653
2018,5,27,20,0,0,-0.00752203650197929
2018,5,27,20,10,0,-0.00139216568397799
2018,5,27,20,20,0,0.00435716838076759
2018,5,27,20,30,0,0.00969664598035017
2018,5,27,20,40,0,0.0146211691970635
2018,5,27,20,50,0,0.0191480563906762
2018,5,27,21,0,0,0.023314404710019
2018,5,27,21,10,0,0.0271736990473154
2018,5,27,21,20,0,0.0307918473064181
2018,5,27,21,30,0,0.0342426639889482
2018,5,27,21,40,0,0.0376033547818022
2018,5,27,21,50,0,0.0409499041594465
2018,5,27,22,0,0,0.0443525450590857
2018,5,27,22,10,0,0.0478717122079565
2018,5,27,22,20,0,0.0515544675676048
2018,5,27,22,30,0,0.0554316208483786
2018,5,27,22,40,0,0.0595156950562059
2018,5,27,22,50,0,0.0637998948418082
2018,5,27,23,0,0,0.0682578616522925
2018,5,27,23,10,0,0.0728442805311935
2018,5,27,23,20,0,0.0774964031397661
2018,5,27,23,30,0,0.0821362471632677
2018,5,27,23,40,0,0.0866736028329451
2018,5,27,23,50,0,0.0910094823897155
2018,5,28,0,0,0,0.0950399608835314
2018,5,28,0,10,0,0.0986603198384942
2018,5,28,0,20,0,0.10176921630212
2018,5,28,0,30,0,0.104272949624525
2018,5,28,0,40,0,0.106089284223848
2018,5,28,0,50,0,0.107150806817948
2018,5,28,1,0,0,0.107407835494542
2018,5,28,1,10,0,0.106830680426683
2018,5,28,1,20,0,0.105411245578856
2018,5,28,1,30,0,0.103163774240665
2018,5,28,1,40,0,0.100124775828976
2018,5,28,1,50,0,0.096352142591411
2018,5,28,2,0,0,0.0919235983471304
2018,5,28,2,10,0,0.0869342919002977
2018,5,28,2,20,0,0.0814939054979881
2018,5,28,2,30,0,0.0757232690055982
2018,5,28,2,40,0,0.0697506015952642
2018,5,28,2,50,0,0.0637073835378277
2018,5,28,3,0,0,0.0577241866253052
2018,5,28,3,10,0,0.0519266814850287
2018,5,28,3,20,0,0.0464318060710099
2018,5,28,3,30,0,0.0413443923426894
2018,5,28,3,40,0,0.0367542983542048
2018,5,28,3,50,0,0.0327340258682631
2018,5,28,4,0,0,0.0293369246785395
2018,5,28,4,10,0,0.0265961175678983
2018,5,28,4,20,0,0.0245241472645094
2018,5,28,4,30,0,0.0231131737687302
2018,5,28,4,40,0,0.0223357834772824
2018,5,28,4,50,0,0.0221462525704168
2018,5,28,5,0,0,0.0224825068773733
2018,5,28,5,10,0,0.0232685165801382
2018,5,28,5,20,0,0.0244171778321583
2018,5,28,5,30,0,0.0258334470515575
2018,5,28,5,40,0,0.0274176817072844
2018,5,28,5,50,0,0.0290690830789917
2018,5,28,6,0,0,0.0306890331612419
2018,5,28,6,10,0,0.0321844488959973
2018,5,28,6,20,0,0.0334709046693559
2018,5,28,6,30,0,0.0344756380935782
2018,5,28,6,40,0,0.0351401692782795
2018,5,28,6,50,0,0.0354224364799907
2018,5,28,7,0,0,0.0352983767218911
2018,5,28,7,10,0,0.0347630651607016
2018,5,28,7,20,0,0.0338313043627438
2018,5,28,7,30,0,0.0325377028600037
2018,5,28,7,40,0,0.0309361241684391
2018,5,28,7,50,0,0.0290984785634244
2018,5,28,8,0,0,0.0271131953541617
2018,5,28,8,10,0,0.0250831699379975
2018,5,28,8,20,0,0.0231232858905547
2018,5,28,8,30,0,0.021357513464814
2018,5,28,8,40,0,0.0199155502458446
2018,5,28,8,50,0,0.0189294337684431
2018,5,28,9,0,0,0.0185301693354141
2018,5,28,9,10,0,0.0188442144157977
2018,5,28,9,20,0,0.0199898971606428
2018,5,28,9,30,0,0.022073758582559
2018,5,28,9,40,0,0.0251872503091153
2018,5,28,9,50,0,0.0294035585838456
2018,5,28,10,0,0,0.0347747332761305
2018,5,28,10,10,0,0.0413292803019932
2018,5,28,10,20,0,0.0490703358706672
2018,5,28,10,30,0,0.0579743348491097
2018,5,28,10,40,0,0.0679901519542633
2018,5,28,10,50,0,0.079038741829421
2018,5,28,11,0,0,0.0910133795316566
2018,5,28,11,10,0,0.103780646539949
2018,5,28,11,20,0,0.117182007417424
2018,5,28,11,30,0,0.131035806425472
2018,5,28,11,40,0,0.145139916467257
2018,5,28,11,50,0,0.159275014462191
2018,5,28,12,0,0,0.173208375399469
2018,5,28,12,10,0,0.186698050354974
2018,5,28,12,20,0,0.199497294838922
2018,5,28,12,30,0,0.211359404255181
2018,5,28,12,40,0,0.222042725668287
2018,5,28,12,50,0,0.231315762681632
2018,5,28,13,0,0,0.238962289849891
2018,5,28,13,10,0,0.244786313670011
2018,5,28,13,20,0,0.24861671367584
2018,5,28,13,30,0,0.250311645440335
2018,5,28,13,40,0,0.249762491208808
2018,5,28,13,50,0,0.246897209011684
2018,5,28,14,0,0,0.241682961869032
2018,5,28,14,10,0,0.234127926046948
2018,5,28,14,20,0,0.22428247920025
2018,5,28,14,30,0,0.212239539216507
2018,5,28,14,40,0,0.198133957613123
2018,5,28,14,50,0,0.182141147843014
2018,5,28,15,0,0,0.164474704825912
2018,5,28,15,10,0,0.145383180050719
2018,5,28,15,20,0,0.125146099878797
2018,5,28,15,30,0,0.104069117210817
2018,5,28,15,40,0,0.0824783461870377
2018,5,28,15,50,0,0.0607141080738759
2018,5,28,16,0,0,0.0391241898395352
2018,5,28,16,10,0,0.0180568139744891
2018,5,28,16,20,0,-0.00214671236651776
2018,5,28,16,30,0,-0.0211595705383188
2018,5,28,16,40,0,-0.0386766720598775
2018,5,28,16,50,0,-0.0544215835512151
2018,5,28,17,0,0,-0.0681528659643282
2018,5,28,17,10,0,-0.0796698635664188
2018,5,28,17,20,0,-0.088817732371319
2018,5,28,17,30,0,-0.0954915114398645
2018,5,28,17,40,0,-0.0996392275083794
2018,5,28,17,50,0,-0.101263628461341
2018,5,28,18,0,0,-0.10042259484519
2018,5,28,18,10,0,-0.0972281447734196
2018,5,28,18,20,0,-0.0918440255553518
2018,5,28,18,30,0,-0.084481950297847
2018,5,28,18,40,0,-0.0753964156856163
2018,5,28,18,50,0,-0.0648782780397828
2018,5,28,19,0,0,-0.0532472831285158
2018,5,28,19,10,0,-0.0408437836968544
2018,5,28,19,20,0,-0.0280196430931478
2018,5,28,19,30,0,-0.01512856372982
2018,5,28,19,40,0,-0.00251628471363347
2018,5,28,19,50,0,0.00948927214643387
2018,5,28,20,0,0,0.0205874057734479
2018,5,28,20,10,0,0.030513235430475
2018,5,28,20,20,0,0.0390453555337914
2018,5,28,20,30,0,0.0460123103051404
2018,5,28,20,40,0,0.051297629649599
2018,5,28,20,50,0,0.0548432497025431
